"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.util.AbstractSet.<init>()","1.2230047E-4","0.098 ms","422"
"java.net.SocketOutputStream.write(byte[], int, int)","1.2105249E-4","0.097 ms","186"
"java.io.ObjectInputStream$HandleTable.lookupException(int)","1.2105249E-4","0.097 ms","752"
"java.util.logging.LogManager.getLogger(String)","1.2105249E-4","0.097 ms","73"
"java.io.ObjectStreamClass.getClassSignature(Class)","1.19804536E-4","0.096 ms","22"
"java.util.concurrent.locks.ReentrantLock$Sync.tryRelease(int)","1.1855657E-4","0.095 ms","140"
"java.io.ByteArrayInputStream.read(byte[], int, int)","1.1855657E-4","0.095 ms","216"
"java.io.ObjectInputStream.readNull()","1.1855657E-4","0.095 ms","390"
"java.util.HashMap.newValueIterator()","1.1855657E-4","0.095 ms","112"
"java.io.Bits.getInt(byte[], int)","1.1606064E-4","0.093 ms","285"
"java.io.ObjectInputStream$HandleTable.markDependency(int, int)","1.1606064E-4","0.093 ms","609"
"java.util.logging.LogManager.resetLogger(String)","1.14812676E-4","0.092 ms","19"
"java.util.ArrayList.writeObject(java.io.ObjectOutputStream)","1.1356471E-4","0.091 ms","19"
"java.io.ObjectStreamField.isPrimitive()","1.1231675E-4","0.09 ms","416"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.lock()","1.1231675E-4","0.09 ms","83"
"java.io.ObjectStreamClass$FieldReflectorKey.equals(Object)","1.1106879E-4","0.089 ms","182"
"java.util.logging.LogManager.reset()","1.0982082E-4","0.088 ms","1"
"java.io.ObjectInputStream$BlockDataInputStream.readFully(byte[], int, int, boolean)","1.0982082E-4","0.088 ms","116"
"java.lang.String.toCharArray()","1.0982082E-4","0.088 ms","85"
"java.io.ObjectStreamField.<init>(java.lang.reflect.Field, boolean, boolean)","1.0732489E-4","0.086 ms","22"
"java.lang.String.substring(int)","1.0732489E-4","0.086 ms","332"
"java.lang.ApplicationShutdownHooks.runHooks()","1.0607693E-4","0.085 ms","1"
"java.io.ObjectInputStream$BlockDataInputStream.skipBlockData()","1.0482896E-4","0.084 ms","241"
"java.io.ObjectStreamClass$FieldReflector.setPrimFieldValues(Object, byte[])","1.03581006E-4","0.083 ms","107"
"java.lang.Thread.interrupted()","1.03581006E-4","0.083 ms","43"
"java.util.HashMap.containsKey(Object)","1.01085076E-4","0.081 ms","114"
"java.io.Bits.putBoolean(byte[], int, boolean)","1.01085076E-4","0.081 ms","528"
"java.lang.String.valueOf(char[])","9.983711E-5","0.08 ms","196"
"java.io.DataInputStream.readFully(byte[], int, int)","9.983711E-5","0.08 ms","105"
